Cemetery	בית עלמין
I can't reach it.	אני לא מגיע לזה.
trap door	דלת סתרים
It's a piece to the map of Big Whoop!	זאת חתיכה של המפה של א גרוייסע מציאה!
It's a skeleton holding a piece of map.	זה שלד שמחזיק חתיכת מפה.
It's not mine to use.	זה לא שלי לשימוש.
map piece@@@@@	חתיכת מפה@@@@@
hole	חור
Looks like he died while taking a bath.	נראה שהוא מת בזמן שהוא עשה אמבטיה.
Yuck!  I don't want to touch it.	איכס!  אני לא רוצה לגעת בזה.
Skeletons don't talk.	שלדים לא מדברים.
skeleton in bathtub	שלד באמבטיה
hand and map	יד ומפה
It says `Trespassers not delivering foodstuffs will be persecuted.`	כתוב על זה 'משיגי גבול שאינם מביאים איתם דברי מאכל ייענשו.'
sign	שלט
door	דלת
path	שביל
gate	שער
The gate is closed.	השער סגור.
stairs	מדרגות
couch	ספה
paintings	ציורים
outside	החוצה
guard	שומר
Hey, aren't you supposed to be in jail?	היי, אתה לא אמור להיות בבית הכלא?
\x07I got time off for good behavior.	\x07שוחררתי מוקדם על התנהגות טובה.
\x07You must be confusing me with my cousin Guybrush.	\x07אתה בטח מתבלבל ביני לבן הדוד שלי ברנשצבע.
\x07Governor Phatt had me set free.	\x07המושל שומן הוציא אותי לחופשי.
\x07Yes, but I broke out.	\x07כן, אבל ברחתי.
Oh, I see.	אה, אני מבין.
The resemblance is uncanny.	הדמיון לא ייאמן.
Ha ha.	חה חה.
That's a good one.	בדיחה טובה.
Walt would have chewed you to bits.	וולט היה לועס לך את הצורה.
Oh.	אה.
\x07Can I go upstairs?	\x07אני יכול לעלות למעלה?
\x07When will the Governor be finished eating?	\x07מתי המושל יסיים לאכול?
\x07I think there's a fire in the kitchen.	\x07אני חושב שיש שריפה במטבח.
\x07Look behind you, a three-headed monkey!\xFF\x09\x07\x00	\x07תתכל מאחוריך, קוף תלת-ראשי!\xFF\x09\x07\x00
\x07I'd love to stay and chat but I'm due at the manicurist's.\xFF\x09\x1A\x00	\x07הייתי שמח להישאר ולפטפט אבל יש לי תור למניקוריסטית.\xFF\x09\x1A\x00
I'm sorry, but the Governor doesn't want to be disturbed while he's eating.	אני מצטער, אבל המושל לא רוצה שיפריעו לו בזמן שהוא אוכל.
I said the Governor is not to be disturbed while he's eating.	אמרתי שאין להפריע למושל בזמן שהוא אוכל.
Really?	באמת?
I'd better check it out.	כדאי שאבדוק את זה.
Really?	באמת?
I'd better fetch the cook!	כדאי שאביא את הטבח!
Maybe you should get a shave while you're at it.	אולי כדאי שגם תתגלח.
Ha ha ha ha.	חה חה חה חה.
Hold it!	רגע!
You can't go up there.	אתה לא יכול לעלות לשם.
Famous Pirate Quotations@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	ציטוטים מפורסמים של שודדי ים@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
Sleeping like a baby.	ישן כמו תינוק.
^a baby elephant.	^פיל תינוק.
I don't think I could move him.	אני לא חושב שאני אוכל להזיז אותו.
Ick.	איכס.
I don't think I'd better wake him up.	אני לא חושב שכדאי שאעיר אותו.
Governor Phatt	המושל שומן
There's food or something stuck in the drain.	יש אוכל או משהו תקוע בניקוז.
wash basin	כיור
It seems to go off before stuff comes out of the tube.	נראה שהוא פועל לפני שדברים יוצאים מהצינור.
alarm	אזעקה
alarm	אזעקה
I don't think this has been washed in about ten years.	אני לא חושב ששטפו את זה בעשר השנים האחרונות.
bed table	שולחן מיטה
There are crumbs and condiments all over it.	זה מלא בפירורים וממרחים.
Ick.	איכס.
bed	מיטה
door	דלת
Why, yes, Miss Bilkfarm, I'd love another case of eclairs.	הו, כן, גברת בילקפארם, אשמח מאוד לחבילה נוספת של אקלרים.
Ah, sugarplums^	הוי, דובשנית^
More!  More spaghetti pie!	עוד! עוד פאי ספגטי!
Look out for the custard!	היזהרו מהחביצה!
And the winner of the weenie-eating contest is^	והזוכה בתחרות אכילת הנקניקיות הוא^
Governor Phatt!	המושל שומן!
More sauce on the goose, please.	עוד רוטב על האווז, בבקשה.
Cranberries?  Yes, I love cranberries!	חמוציות? כן, אני אוהב חמוציות!
Careful with those pitons, or we'll fall into the jelly.	בזהירות עם היתדות האלה, או שניפול לתוך הג'לי.
Careful with those pitons, or we'll fall into the jello.	בזהירות עם היתדות האלה, או שניפול לתוך הג'לו.
Now I've got to eat my way out of the sea of tapioca pudding.	עכשיו אני צריך לאכול את דרכי החוצה מים רפרפת הטפיוקה.
Why, that's the second biggest pound cake I've ever seen!	בחיי, זאת עוגת פאונד השנייה הכי גדולה שאי פעם ראיתי!
Careful with those snacks, Eugene.	תיזהר עם החטיפים האלו, יוג'ין.
Yes, my single-handed defeat of the Fudge Brigade WAS rather amazing.	כן, התבוסה המוחצת שהנחלתי לחטיבת הבראוניס במו ידיי *היה* מדהים למדי.
My kingdom for a peanut butter goat cream truffle!	ממלכתי בעבור כמהון שמנת עזים וחמאת בוטנים!
^and I promise cheese and chocolate sprinkles in every pot^	^ואני מבטיח גבינה ופצפוצי שוקולד בכל סיר^
Show me again how to hypnotize a rhino with an all-day sucker.	תראו לי שוב איך להפנט קרנף עם סוכרייה גדולה על מקל.
When thinking the brain resembles a swiss cheese^	כשחושבים שהמוח דומה לגבינה שוויצרית^
Just back the truck in.	פשוט תכניס לפה את המשאית.
Hello?  I'd like a hundred gallons of butterscotch topping please.	שלום.  אני רוצה 400 ליטר של ציפוי טופי בבקשה.
No, you can't have a bite, it's mine.	לא, את לא יכולה לקבל ביס, זה שלי.
Get your own, mother.	תשיגי לך משלך, אמא.
The world is my chocolate Easter egg.	העולם הוא ביצת הפסחא השוקולדית שלי.
I think I almost woke him up!	אני חושב שכמעט הערתי אותו!
Dread's Ship	ספינתו של טלטלה
Ville de la Booty	עיירת דה לה ביזה
Small Structure	מבנה קטן
Mansion@@@@@@@@@@@	אחוזה@@@@@@@@@@@
Cliff	צוק
Big Tree	עץ גדול
Ville de la Booty	עיירת דה לה ביזה
Governor's Mansion	אחוזת המושל
Guard Kiosk	דוכן השומר
door	דלת
door	דלת
path	שביל
path	שביל
door	דלת
The sign says `The Booty Boutique.`	על השלט כתוב 'בוטיק הביזה'.
`Mementos, Souvenirs, Artifacts`	`מזכרות, מתנות, חפצי אמנות`
sign	שלט
Gee, I wonder if he's loaded.	אני תוהה אם הוא טעון.
old man@@@@@@@@	איש זקן@@@@@@@@
Gee, I wonder if it's loaded.	אני תוהה אם זה טעון.
Hey!  Don't touch that!	היי!  אל תיגע בזה!
We only set that off when the mail boat comes in.	אנחנו יורים בזה רק כשסירת הדואר מגיעה.
cannon	תותח
What are you looking at?	על מה אתה מסתכל?
What?	מה?
I think she'd slug me.	אני חושב שהיא תחטיף לי.
woman in big hat	אישה עם כובע גדול
Capsize Charters, glass-bottom boat for sightseeing or special-interest voyages.	קליפת-אגוז השכרות, ספינות עם תחתית זכוכית לתיירות או למסעות שיט בעלי עניין מיוחד.
There's a picture of her on it.	יש תמונה שלה על זה.
leaflet	עלון
What a piece of junk.	איזו גרוטאה.
Dread's ship	ספינתו של טלטלה
Captain Kate	קפטן קייט
Augustus DeWaat	אוגוסטוס דה-וואט
Hello again.	שוב שלום.
Hello there.	שלום לך.
\x07I just stopped by to say hello again.	\x07רק קפצתי להגיד שוב שלום.
\x07I said HELLO THERE.  My name's Threepwood.	\x07אמרתי *שלום לך*. שמי הוא כפיסדבק.
\x07I'd like to introduce myself.  My name's Threepwood.	\x07אני רוצה להציג את עצמי. שמי הוא כפיסדבק.
\x07What kind of mishaps were there at the treasure hunt?	\x07אילו מין תקלות היו בחיפוש המטמון?
\x07Hey, old man.  How about blowing off the cannon?\xFF\x09\x07\x00	\x07שלום, קשישא. מה דעתך לירות בתותח?\xFF\x09\x07\x00
\x07And what are the official purposes of this cannon?	\x07ומה הן המטרות הרשמיות של התותח?
\x07Whatcha lookin' at?	\x07על מה ת'מסתכל?
\x07You don't have a brother named Marty, do you?	\x07אין לך אח בשם מרטי, נכון?
\x07Nothing.  Never mind.  Bye.	\x07שום דבר. לא חשוב. להתראות.
\x07Well, I'm off.\xFF\x09\x1A\x00	\x07טוב, אני זז.\xFF\x09\x1A\x00
Maybe I'll just wait until you do.	אולי אני פשוט אחכה שתעשה זאת.
Oh, why hello there Threepwood.	הו, שלום לך שם כפיסדבק.
You in town for Mardi Gras?	אתה בעיר לכבוד המארדי-גרא?
Oh yes.  Well, are you enjoying Mardi Gras?	אה כן. נו, אתה נהנה מהמארדי-גרא?
	
\x07No, I'm on a treasure hunt!	\x07לא, אני מחפש את המטמון!
\x07Hey, if it's a party, I'm there.\xFF\x09\x1B\x00	\x07היי, זאת מסיבה, אני כאן.\xFF\x09\x1B\x00
\x07Is this the right time of year for Mardi Gras?	\x07זה הזמן הנכון בשנה למארדי גרא?
\x07What kind of mishaps were there at the treasure hunt?	\x07אילו מין תקלות היו בחיפוש המטמון?
\x07That's where I'm going right now.  Bye.	\x07לשם אני הולך עכשיו. להתראות.
Yep.  Can't talk now.  Having too much fun.	כן.  לא יכול לדבר עכשיו.  נהנה מדי.
You kids today^	הילדים של היום^
^always on the go-go-go.	^תמיד ממהרים-רים-רים.
What?  They doin' a treasure hunt again this year?	מה? הם שוב עושים חיפוש מטמון השנה?
I can't believe they'd try that again after all the mishaps last time.	אני לא מאמין שהם מנסים את זה שוב אחרי כל התקלות מהפעם שעברה.
	
\x07Dang!  There goes all my fun.	\x07אוף! הלך כל הכיף שלי.
\x07I meant a REAL treasure hunt.  You know.  For money.	\x07התכוונתי לחיפוש מטמון *אמיתי*. אתה יודע. עבור כסף.
\x07What kind of mishaps?	\x07אילו מין תקלות?
\x07Well, I'd better let you get back to work^	\x07טוב, כדאי שאניח לך לחזור לעבודתך^
Well, if it's a party your looking for^	טוב, אם אתה מחפש מסיבה^
Son, it's always Mardi Gras on Booty Island.	ילד, זה תמיד מארדי גרא על אי הביזה.
Well, if it's fun you're looking for^	טוב, אם אתה מעוניין בכיף^
Well, there's always Governor Marley's party.	טוב, תמיד יש את המסיבה של המושלת מארלי.
I hear Governor Marley is having some super shindig up at her mansion.	שמעתי שהמושלת מארלי מקיימת איזו סופר-חגיגה אצלה באחוזה.
	
\x07Marley?  That's funny.  I used to date a Governor Marley.\xFF\x09\x19\x00	\x07מארלי?  מצחיק.  פעם יצאתי עם מישהי בשם המושלת מארלי.\xFF\x09\x19\x00
\x07How do you know so much about parties?	\x07איך אתה יודע כל כך הרבה על מסיבות?
\x07Maybe I'll just go up there now.  Bye.\xFF\x09\x1A\x00	\x07אולי אני פשוט אעלה לשם עכשיו. להתראות.\xFF\x09\x1A\x00
Sounds fun.	נשמע כיף.
Maybe I'll go there right now.\xFF\x09\x1A\x00	אולי אני אלך לשם עכשיו.\xFF\x09\x1A\x00
Yeah, live it up while you're young.	כן, תהנה כל עוד אתה צעיר.
Yeah, live it up while you're young.	כן, תהנה כל עוד אתה צעיר.
Oh sure^	ברור^
And I'll bet you helped her beat LeChuck, too.	ואני בטוח שגם עזרת לה להביס את לה-צ'אק.
	
\x07You'd better believe it!\xFF\x09\x07\x00	\x07ברור שכן!\xFF\x09\x07\x00
\x07No, I beat him all by myself!	\x07לא, אני הבסתי אותו לגמרי בעצמי!
\x07Don't laugh.  I've got the proof right here^	\x07אל תצחק. יש לי את ההוכחה ממש כאן^
\x07You're right.  I'm lying.  I'm so ashamed.	\x07אתה צודק. אני משקר. אני כל כך נבוך.
^in my pock--	^בתוך הכיס ש--
--whoops.  Uh^	--אופס.  אה^
Hey, hey, kid.  It's OK.	היי, היי, ילד.  זה בסדר.
Mardi Gras is the time for fantasy.	מארדי גרא זה זמן לחלומות.
Now just run along and enjoy yourself.	עכשיו צא לדרך ותהנה לך.
I used to be the governor of this island.	פעם הייתי המושל של האי הזה.
But I never had any time to come down here and enjoy the party.	אבל אף פעם לא היה לי זמן לרדת לכאן וליהנות מהמסיבה.
So I quit, and now I watch out for the mail boat.	אז פרשתי, ועכשיו אני עומד על המשמר לסירת הדואר.
Which reminds me, I have to get back to work.	וזה מזכיר לי, אני צריך לחזור לעבוד.
For money?	בשביל כסף?
Look, son, this ain't some back alley on Phatt.	תראה, בן, זאת לא איזו סמטה אחורית באי השומן.
If you're looking for gambling you've come to the wrong place.	אם אתה מחפש להמר, הגעת למקום הלא נכון.
Well, some people got carried away^	טוב, כמה אנשים קצת נסחפו^
^some graves got dug up^	^כמה קברים נפתחו^
^horrible business.	^עסק ביש.
How about just blowing off?	מה דעתך פשוט להתחפף?
My name is Augustus DeWaat, not `old man.`	שמי הוא אוגוסטוס דה-וואט, לא `איש זקן.`
And this cannon is for official purposes only.	והתותח הזה הוא למטרות רשמיות בלבד.
I watch the sea, and when the mail boat arrives, I blow this cannon.	אני משגיח על הים, וכשסירת הדואר מגיעה, אני יורה בתותח הזה.
Dang ship's three days late.	הספינה הארורה מאחרת כבר בשלושה ימים.
Boy, the only Marty I know is Marty Graw!	בחיי, המרטי היחיד שאני מכיר הוא מארדי גרה!
Who?	מי?
Mardi Gras!	מארדי גרא!
It's a joke, boy, a joke.	זו בדיחה, ילד, בדיחה.
You are here for Mardi Gras, aren't you?	אתה הגעת לכבוד המארדי גרא, נכון?
Well, enjoy Mardi Gras.	טוב, תהנה מהמארדי גרא.
	
Augustus DeWaat	אוגוסטוס דה-וואט
Sorry son, didn't have my horn out.	סליחה בן, הייתי בלי הקרן שלי.
Could you say that again?	אתה יכול להגיד את זה שוב?
Eh, what was that?	אה, מה זה היה?
You talking to me, boy?	אתה מדבר אליי, ילד?
You again?	שוב אתה?
Still mumbling, I see.	אני רואה שאתה עדיין ממלמל.
Speak up!	תדבר חזק!
There is a party going on, remember.	יש מסיבה כאן, תזכור.
What was that?	מה זה היה?
Are you lost?	אתה אבוד?
How am I supposed to keep my ear to the sea with you bugging me all the time?	איך אני אמור להאזין לים כשאתה מציק לי כל הזמן?
Eh?	אה?
Cruises!	שיט תענוגות!
Sightseeing!	סיור באתרים!
Sunken Galleons!	ספינות טבועות!
Glass-bottom boat!	ספינת תחתית-זכוכית!
Check it out!	בואו תראו!
See the world!	תראו את העולם!
Three-hour tours!	סיורים בני שלוש-שעות!
Last day before I leave for Phatt Island!	היום האחרון לפני שאני יוצאת לאי השומן!
	
\x07By the way, my name's Guybrush.	\x07דרך אגב, שמי הוא ברנשצבע.
\x07Hi, my name's Guybrush.	\x07שלום, שמי הוא ברנשצבע.
\x07Could I have one of those leaflets?	\x07אפשר את אחד מהעלונים האלה?
\x07I'm ready to head out again.\xFF\x09\x1A\x00	\x07אני מוכן לצאת שוב.\xFF\x09\x1A\x00
\x07I'm ready to set sail!\xFF\x09\x1A\x00	\x07אני מוכן להרים עוגן!\xFF\x09\x1A\x00
\x07I'm interested in chartering a ship.	\x07אני מעוניין לשכור ספינה.
\x07Are you the same Kate who bought all the near-grog \xFE\x08    at the Bloody Lip?	\x07את אותה קייט שקנתה את כל הכמעט־גרוג \xFE\x08    בשפה המדממת?
\x07I'm searching for the treasure of Big Whoop.	\x07אני מחפש את המטמון של א גרוייסע מציאה.
\x07I just remembered I'm late for a party.\xFF\x09\x1A\x00	\x07עכשיו נזכרתי שאני מאחר למסיבה.\xFF\x09\x1A\x00
Captain Kate	קפטן קייט
I'm Captain Kate Capsize.	אני קפטן קייט קליפת-אגוז.
Like to charter a ship?	רוצה לשכור ספינה?
I do weddings, funerals, bar mitzvahs, you name it.	אני עורכת חתונות, הלוויות, בר מצוות, מה שתרצה.
Yeah, OK.	אה, בסדר.
Hey, these things cost money.	היי, הדברים האלה עולים כסף.
Great!	מעולה!
Not many people want to charter a glass-bottomed boat around here.	אין הרבה אנשים שרוצים לשכור סירה עם תחתית-זכוכית בסביבה.
Pretty soon I'm off to Phatt Island to try my luck there, but let's talk turkey first.	בקרוב אצא לאי השומן לנסות את מזלי שם, אבל בוא נדבר תכל'ס.
Yeah, and you can't have any of it, so don't ask.	כן, אבל לא תקבל  מזה דבר, אז אל תשאל.
You and everybody else on this island.	אתה וכל מי שנמצא על האי הזה.
If you need a ship, you know where to find me.	אם אתה צריך ספינה, אתה יודע איפה למצוא אותי.
OK, show me where you want to go this time.	בסדר, תראה לי לאן אתה רוצה ללכת הפעם.
Yeah?	כן?
When I was first mate on the Limping Limpet we went in search of Big Whoop.	כשהייתי חובלת ראשונה על סיפון העלוקה המעיקה יצאנו לחפש את א גרוייסע מציאה.
We'd heard it was buried under a place called Blinky Island.	שמענו שזה היה קבור מתחת למקום בשם אי הצלוב.
Never found the island OR the treasure.	מעולם לא מצאתי את האי *או* את האוצר.
The captain eventually died of boredom while we were crossing the Sea of Beige Flotsam.	הקפטן מת לבסוף משעמום כשחצינו את ים שרידי הבז'.
Hope your luck is better.	אני מקווה שיש לך מזל יותר טוב.
My fee is 6000 pieces of eight.	התעריף שלי הוא 6,000 מטבעות כסף.
As I mentioned, my fee is 6000 pieces of eight.	כפי שאמרתי, התעריף שלי הוא 6,000 מטבעות כסף.
\x07Don't you think 6000 pieces of eight is a bit high?\xFF\x09\x19\x00	\x07את לא חושבת ש-6,000 מטבעות כסף זה קצת גבוה?\xFF\x09\x19\x00
\x07I'm afraid I don't have any money.	\x07אני חושש שאין לי מספיק כסף.
\x07I don't have that much money.	\x07אין לי סכום כסף כזה.
\x07All I have is \xFF\x04\x31\x01 pieces of eight.	\x07כל מה שיש לי זה \xFF\x04\x31\x01 מטבעות כסף.
\x07OK, I'll pay you the 6000 pieces of eight.	\x07בסדר, אני אשלם לך 6,000 מטבעות כסף.
\x07Do you give credit?	\x07את נותנת הלוואה?
\x07I'll come back later.	\x07אני אחזור מאוחר יותר.
No, I don't.	לא, אני לא.
Well, perhaps you'd better get some.	ובכן אולי כדאי שתשיג קצת.
I guess you'd better find some more, then, huh?	אני מניחה שכדאי שתמצא עוד, אה?
You've chartered yourself a ship.	השכרת לעצמך ספינה.
My name's Kate Capsize, I'll be your Captain.	שמי קייט קליפת-אגוז, אני אהיה הקפטנית שלך.
Are you ready to leave now?	אתה מוכן לעזוב עכשיו?
Ha ha ha ha ha!	חה חה חה חה חה!
OK, I'll be here.	בסדר, אני אהיה כאן.
\x07Yeah, I'm hot to find the wreck of the Mad Monkey!	\x07כן, אני ממש להוט למצוא את ההריסות של הקוף המטורף!
\x07Yeah, let's blow this popsicle stand.\xFF\x09\x1A\x00	\x07כן, הגיע הזמן לעוף מפה.\xFF\x09\x1A\x00
\x07No, I need to take care of a few things first.	\x07לא, אני צריך לטפל קודם בכמה דברים.
\x07I'm not sure where I want to go.\xFF\x09\x06\x00	\x07אני לא בטוח מתי אני רוצה לצאת.\xFF\x09\x06\x00
Have you got a course planned or anything?	יש לך מסלול מתוכנן או משהו?
I can show you where I want to go on this map that Captain Dread gave me.	אני יכול להראות לך לאן אני רוצה להגיע על המפה שקפטן טלטלה הביא לי.
Let me know when you're ready to head out.	תודיע לי כשתהיה מוכן לצאת.
I'll be here.	אני אהיה כאן.
You'd best figure that out, then come back and let me know.	כדאי שתבין את זה ואז תחזור ותיידע אותי.
I don't need any more money from you.	אני לא צריכה עוד כסף ממך.
I take it you want to charter my ship.	אני מבינה שאתה רוצה לשכור את הספינה שלי.
All right, that's six thousand pieces of eight.	בסדר, זה יעלה ששת אלפים מטבעות כסף.
Thanks!	תודה!
You've just chartered yourself a ship!	הרגע שכרת לעצמך ספינה!
If you want to charter my ship, it'll cost you six thousand pieces of eight.	אם אתה רוצה לשכור את הספינה שלי, זה יעלה לך ששת אלפים מטבעות כסף.
I don't recognize this at all.	אני לא מזהה את זה בכלל.
You'd better take it to an expert.	כדאי שתיקח את זה למומחה.
Thanks, I've already got some.	תודה, כבר יש לי מזה.
Thanks, but no thanks.	תודה, אבל לא תודה.
I have a treasure guarantee policy with all my charters.	יש לי מדיניות של התחייבות לאוצר עם כל השוכרים שלי.
Since you came back empty-handed, we can go out again, free of charge.	מכיוון שחזרת בידיים ריקות, אנחנו יכולים לצאת שוב, ללא חיוב נוסף.
Just let me know if you want to go.	פשוט תודיע לי אם אתה רוצה ללכת.
Let me know when you're ready to try again.	תודיע לי כשאתה מוכן לנסות שוב.
Well, congratulations on your find, Guybrush.	ובכן, מזל טוב על מציאתך, ברנשצבע.
Be sure and tell any friends you might have about Capsize Charters.	אל תשכח לספר לכל החברים שאולי יש לך על קליפת-אגוז השכרות.
See you around the turnpike.	ניפגש בסיבוב.
Hmmm^  Maybe THAT'S the mail boat.	המממ^ אולי *זאת* סירת הדואר.
That sounds like the mail boat!	זה נשמע כמו סירת הדואר!
I'd better fire the cannon!	כדאי שאירה בתותח!
That oughta do it.	זה אמור להספיק.
Course, I don't see no mail boat^	כמובן, אני לא רואה שום סירת דואר^
Well, where's the mail boat?	ובכן, איפה סירת הדואר?
Thought I heard it^	חשבתי ששמעתי אותה^
Was THAT it?	*זאת* היא?
Uh^ Maybe?	אה^ אולי?
I see.	אני מבין.
	
Maybe later.	אולי מאוחר יותר.
It's too peaceful out here for that.	שקט פה מדי בשביל זה.
I don't want to disturb the fish.	אני לא רוצה להפריע לדגים.
Then why don't you pipe down?	אז אולי תהיה בשקט?
Oooh, I don't want to upset the wheel^	אוי, אני לא רוצה להרגיז את ההגה^
Not in here^	לא פה^
The echo might kill me.	ההד עלול להרוג אותי.
I don't want to push it.	אני לא רוצה להגזים.
I don't think I should use it indoors.	אני לא חושב שאני צריך להשתמש בזה בפנים.
Au contraire!	להפך!
This here's an indoor-outdoor model.	זהו דגם פנים-חוץ.
Suitable for even the best of my Kozy Krypts\x0F!	מתאים גם לקברים הנוחים הטובים ביותר שלי\x0F!
I think I've been enough of a pest.	אני חושב שהייתי מספיק נודניק.
I think I should save my breath.	אני חושב שחבל על המאמץ.
Who knows what enormous deadly cave creature I'd wake up?	מי יודע איזה יצור מערות ענק ורצחני אני אעיר?
No thanks.	לא תודה.
Just to let LeChuck know where I am?	רק כדי שלה-צ'אק יידע איפה אני?
No thanks.	לא תודה.
I don't think I should use it indoors.	אני לא חושב שכדאי שאשתמש בזה בפנים.
I don't think this is a good spot.	אני לא חושב שזה מקום טוב.
Bad acoustics.	אקוסטיקה גרועה.
Don't even think about it.	אל תחשוב על זה אפילו.
What's a nice girl like you doing in a place like this?	מה בחורה נחמדה כמוך עושה במקום כזה?
Come here often?	באה לפה הרבה?
I can hold my breath for ten minutes!	אני יכול לעצור את נשימתי לעשר דקות!
You know, they call me the Bone Master.	את יודעת, הם קוראים לי מומחה העצמות.
You know, I could really fall for a girl like you.	את יודעת, אני ממש יכול ליפול ברשת של בחורה כמוך.
What's your sign?	איזה מזל את?
How'd you like to come up and see my etchings?	מה דעתך לעלות אליי ולראות את התחריטים שלי?
Wanna feel my muscles?	רוצה להרגיש את השרירים שלי?
Has anyone ever told you you have beautiful eyes?	מישהו אי פעם אמר לך שיש לך עיניים יפהפיות?
Wanna see my scar?	רוצה לראות את הצלקת שלי?
Let's get out of here and go someplace where we can talk.	בואי נלך מפה ונמצא מקום שנוכל לדבר בו.
If I said you had a beautiful body would you hold it against me?	אם אני אגיד שיש לך גוף יפה, את תשתמשי בו נגדי?
Aren't you a famous model?	את לא דוגמנית מפורסמת?
Wanna help me search for buried treasure?	רוצה לעזור לי לחפש אחר אוצר קבור?
You look like a pretty classy babe.	את נראית כמו חתיכה ממש קלאסית.
You must be a stewardess.	את בטח דיילת.
You'd be in good hands with me, baby.	איתי את תהיי בידיים טובות, מותק.
Trying to avoid guys like you.	מנסה להימנע מבחורים כמוך.
Once TOO often, obviously.	פעם אחת *יותר מדי*, מן הסתם.
You'll have to wait a lot longer than that to pick ME up.	אתה תצטרך לחכות הרבה יותר זמן מזה בכדי להתחיל *איתי*.
I'm surprised anyone calls you at all.	אני מופתעת שמישהו קורא לך בכלל.
Hopefully off a cliff.	עדיף שתיפול מצוק.
`No trespassing.`	מזלך שאני לא קוראת למשטרה.
How'd you like a nice Hawaiian Punch?	מה דעתך על אגרוף לפנים?
Call me when you can find one.	תקרא לי כשתמצא אחד.
Has anyone ever swallowed that line?	המשפט הזה אי פעם עבד על מישהי?
I've seen lobotomies, thanks.	ראיתי כריתות אונה, תודה.
Preferably long distance.	עדיף בשיחה לחו"ל.
Just the part with the knuckles.	רק בחלק עם פרקי האצבעות.
Aren't you a famous jerk?	אתה לא מניאק מפורסם?
How would you like to BE buried treasure?	מה דעתך על *להיות* אוצר קבור?
I guess I was wrong when I thought you couldn't possibly be as dumb as you look.	נראה שטעיתי כשחשבתי שאתה לא יכול להיות דביל כמו שאתה נראה.
You can go be in your OWN hands, creep.	אתה יכול להיות בידיים *שלך*, סוטה.
Ba	באה לפה הרבה?
Baa	באא
Baaa	באאא
Baaaa	באאאא
Baaaaa	באאאאא
Baaaaao	באאאאאו
Baaaaaoo	באאאאאוו
Baaaaaooo	באאאאאווו
Baaaaaoooo	באאאאאוווו
Baaaaaoooog	באאאאאווווג
Baaaaaooooga	באאאאאווווגה
111100101011110101001101101111110101111111101001100101001100000000100000001000011000000010	111100101011110101001101101111110101111111101001100101001100000000100000001000011000000010
BBBBCCCCFFZZZEEEI	BBBBCCCCFFZZZEEEI
AAAACCCCEEEFFIZZZ	AAAACCCCEEEFFIZZZ
AAAABBBBEEEEFFIZZZ	AAAABBBBEEEEFFIZZZ
CCCCFFZZZEEEI	CCCCFFZZZEEEI
CCFFFZZZZIII	CCFFFZZZZIII
GGGGABCEIZ	GGGGABCEIZ
HHHGGGG	HHHGGGG
SSSRRRR	SSSRRRR
JAAAABBBBCCCCDDDDEEEE	JAAAABBBBCCCCDDDDEEEE
HHHHSSS	HHHHSSS
ABCDEI	ABCDEI
ABCDEI	ABCDEI
`First Place`	מקום ראשון'
flag	דגל
`Second Place`	מקום שני'
flag	דגל
`Third Place`	מקום שלישי'
flag	דגל
Ah, the whole world loves a spitting contest.	אה, כל העולם אוהב תחרויות יריקה.
I'm not looking for a fight.	אני לא מחפש לריב.
crowd	קהל
fault line	קו עונשין
`Pirates' Spit Contest`	תחרות יריקות לשודדי ים'
banner	כרזה
path	שביל
path	שביל
`Pirates' Spit Contest`	תחרות יריקות לשודדי ים'
banner	כרזה
`SPIT FUN SPIT FUN`	*יריקות כיף יריקות כיף*'
banners	כרזות
It's a plaque with an old-looking gob of something on it.	זה לוח שיש עליו גביע ישן למראה מלא במשהו.
For what?  A paperweight?	בשביל מה? משקולת נייר?
spit plaque	לוח יריקות
Sorry, kid.	מצטער, ילד.
Only one plaque to a spitter.	רק לוח אחד ליורק.
I'll give it a try.	אני אנסה.
A volunteer!	מתנדב!
Alright, settle down folks.	בסדר, תירגעו חברים.
This kid looks like a serious contender.	הילד הזה נראה כמו מתמודד רציני.
What's your name, boy?	מה השם שלך, ילד?
\x07Juicious Maximus the Third.	\x07רוקיוס מקסימוס השלישי.
\x07Well, they call me The Phlegm Master.	\x07ובכן, מכנים אותי אלוף הליחה.
\x07I am, of course, Captain Loogie.\xFF\x09\x1B\x00	\x07אני, כמובן, קפטן מוכטה.\xFF\x09\x1B\x00
\x07Whoops!  Thought this was croquet.  Bye.	\x07אופס!  חשבתי שזה קרוקט.  להתראות.
The Juice Man!	איש הרוק!
Max Mucus!	מקסימום נזלת!
He's juicy to the max!	הרוק שלו מגיע רחוק!
The Phlegmster!	ליחה-תיך!
The Phlegmalizer!	ליחה-זק!
The Master of Phlegm!	האלוף של הליחה!
The Loogster!	מוכטה-רפת!
Loog-o-rama!	מלך העול-מוכטה!
Hockin' the big ones for fame and fortune!	שומר את הגדולים לכבוד ותהילה!
Oh, no.  Dry tongue at the last minute!	אוי לא.  לשון יבשה ברגע האחרון!
Well, what about you folks?	ובכן, מה איתכם חברים?
(ahem)	(אהמ)
Dribble Boy is back!	ילד הריור חזר!
Juicious Maximus has returned!	רוקיוס מקסימוס חזר!
